id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
LMTK3,0.011175,0.081152,1,931,-0.38011,5,HGLibB_26691;HGLibA_26729;HGLibA_26728;HGLibB_26692;HGLibA_26730;,-0.52496;-1.2842;-0.85333;-0.21478;-0.23526;
ODF2,0.16006,0.39082,1,6703,-0.37999,4,HGLibB_33235;HGLibA_33277;HGLibA_33278;HGLibB_33233;,-0.48041;-1.2633;-0.49481;-0.27956;
TMCO1,0.015599,0.10774,1,1206,-0.37998,5,HGLibA_49781;HGLibB_49720;HGLibB_49722;HGLibA_49780;HGLibB_49721;,-1.8259;-0.54662;-0.54582;-0.21414;-0.08363;
SMCR7L,0.067856,0.17392,1,3762,-0.37989,3,HGLibA_45681;HGLibB_45626;HGLibA_45680;,-0.92613;-0.37989;-0.11386;
PPP1R16B,0.10611,0.31854,1,5262,-0.37975,4,HGLibB_38006;HGLibA_38055;HGLibA_38057;HGLibA_38056;,-0.55822;-0.72692;-0.6629;-0.20128;
ADH1A,0.071639,0.24929,1,3907,-0.37974,4,HGLibA_00949;HGLibA_00951;HGLibA_00950;HGLibB_00948;,-0.71456;-0.40579;-0.39777;-0.36171;
LARP6,0.10402,0.31854,1,5189,-0.37962,5,HGLibB_26003;HGLibA_26041;HGLibB_26004;HGLibA_26039;HGLibA_26040;,-1.3024;-0.71892;-0.1507;-0.60854;-0.14224;
ZFP64,0.031035,0.16795,1,2066,-0.3792,4,HGLibA_55229;HGLibA_55228;HGLibB_55162;HGLibB_55160;,-1.0521;-0.67983;-0.44512;-0.31328;
PRKAG2,0.042752,0.1893,1,2657,-0.37913,4,HGLibA_38515;HGLibB_38465;HGLibA_38514;HGLibB_38467;,-0.92406;-0.56205;-0.48159;-0.27668;
CXorf21,0.0046414,0.056154,1,452,-0.37908,5,HGLibA_11903;HGLibB_11890;HGLibB_11891;HGLibB_11889;HGLibA_11901;,-0.98444;-0.54293;-0.44608;-0.23871;-0.31208;
LSM14B,0.06886,0.2461,1,3797,-0.37893,4,HGLibB_27494;HGLibB_27492;HGLibA_27532;HGLibA_27533;,-1.1756;-0.79378;-0.38601;-0.37185;
hsa-mir-3619,0.14226,0.32186,1,6279,-0.37883,2,HGLibA_59105;HGLibA_59104;,-1.318;-0.76;
PLAC8L1,0.043936,0.19067,1,2711,-0.37881,4,HGLibA_36945;HGLibB_36898;HGLibB_36899;HGLibB_36897;,-1.1241;-0.46716;-0.41214;-0.34548;
