gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
FAM89B,0.0047473,0.023893,0.945518,436,0.79739,5,HGLibB_16763;HGLibB_16761;HGLibA_16786;HGLibB_16762;HGLibA_16785;,0.96246;1.1962;1.7652;0.59812;0.63231;
ADAP2,0.0048024,0.024369,0.945518,439,0.82695,6,HGLibB_00864;HGLibB_00865;HGLibA_00867;HGLibA_00865;HGLibB_00863;HGLibA_00866;,0.74744;0.90875;0.90647;0.91712;0.33054;0.084114;
ZNF559,0.0048168,0.024524,0.945518,441,0.82004,5,HGLibA_56237;HGLibA_56236;HGLibB_56168;HGLibA_56235;HGLibB_56169;,0.80666;2.4927;1.3155;0.83343;0.28651;
ARHGAP10,0.0048686,0.017084,0.945518,444,1.155,4,HGLibB_02698;HGLibB_02697;HGLibA_02700;HGLibA_02699;,1.3437;1.2103;1.0996;0.27649;
USPL1,0.0049005,0.024661,0.945518,449,0.81272,4,HGLibA_53422;HGLibB_53357;HGLibA_53421;HGLibA_53423;,2.4508;0.87145;0.78046;0.84498;
SH3GL3,0.0053259,0.025779,0.945518,481,0.81087,4,HGLibA_43953;HGLibA_43952;HGLibB_43900;HGLibA_43951;,2.1151;1.6393;0.76034;0.8614;
PPIAL4F,0.0053375,0.013648,0.945518,483,0.82836,3,HGLibA_37913;HGLibA_37911;HGLibB_37864;,1.2489;0.82836;0.82108;
ZCRB1,0.0054417,0.026644,0.945518,497,1.3905,5,HGLibB_54986;HGLibA_55055;HGLibA_55053;HGLibB_54987;HGLibA_55054;,1.4195;1.5911;1.7782;0.31101;1.3614;
C14orf178,0.0055187,0.026725,0.945518,503,0.78358,5,HGLibA_05346;HGLibB_05340;HGLibA_05344;HGLibB_05341;HGLibB_05342;,1.2749;0.98647;0.8692;0.49055;0.69796;
CYP2E1,0.0055512,0.026725,0.945518,507,0.79063,4,HGLibB_12117;HGLibA_12131;HGLibA_12129;HGLibB_12116;,1.5302;0.9502;0.64496;0.9363;
SLC10A7,0.005636,0.027194,0.945518,513,0.85793,6,HGLibB_44296;HGLibA_44347;HGLibA_44349;HGLibB_44294;HGLibA_44348;HGLibB_44295;,2.8622;0.7015;1.4328;1.0144;0.28496;0.061431;
CASP4,0.0057472,0.027501,0.945518,528,0.7337,5,HGLibA_07313;HGLibA_07312;HGLibB_07308;HGLibB_07307;HGLibA_07314;,1.4602;0.98358;0.9029;0.55672;0.5645;
HOXC9,0.0061131,0.028247,0.945518,553,0.83476,4,HGLibA_21979;HGLibB_21951;HGLibA_21980;HGLibB_21950;,2.2052;0.89284;0.77669;1.2069;
FSD2,0.0061864,0.028247,0.945518,555,0.71811,4,HGLibB_18058;HGLibA_18082;HGLibB_18059;HGLibA_18084;,1.3457;0.93451;0.78084;0.65538;
