gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
TMEM242,0.00036664,0.0013026,0.516885,54,0.89606,4,HGLibA_50290;HGLibA_50292;HGLibB_50230;HGLibB_50232;,1.5349;1.4727;1.1278;0.66434;,729515
IQSEC1,0.00042474,0.0014504,0.527769,58,0.75167,5,HGLibB_23509;HGLibB_23507;HGLibA_23540;HGLibB_23508;HGLibA_23542;,1.2724;1.9411;3.3935;0.13775;0.23092;,9922
PPP1CB,0.00042498,0.0014504,0.527769,59,1.5217,5,HGLibB_37958;HGLibA_38008;HGLibB_37960;HGLibA_38009;HGLibB_37959;,1.9048;1.7524;0.70457;1.3017;1.7416;,5500
CITED1,0.00042701,0.0014778,0.527769,60,0.96016,6,HGLibB_09732;HGLibA_09742;HGLibA_09741;HGLibB_09733;HGLibA_09743;HGLibB_09734;,2.5445;1.3468;0.57352;0.41993;2.7141;0.051685;,4435
MEP1A,0.00045042,0.0015248,0.527769,62,0.77464,6,HGLibA_28896;HGLibB_28854;HGLibA_28894;HGLibB_28853;HGLibA_28895;HGLibB_28855;,1.2305;0.88627;1.1278;0.66301;0.58155;0.12718;,4224
UPRT,0.00047397,0.0015568,0.527769,64,0.89382,5,HGLibB_53026;HGLibA_53092;HGLibB_53028;HGLibB_53027;HGLibA_53091;,1.7183;1.2333;0.55432;1.2693;0.033655;,139596
hsa-mir-105-2,0.0013122,0.0016604,0.548391,158,1.4546,3,HGLibA_57181;HGLibA_57183;HGLibA_57182;,1.4546;1.5082;1.2972;,406898
ZNRD1,0.00048367,0.0017694,0.548391,66,0.9841,6,HGLibA_56935;HGLibB_56867;HGLibA_56936;HGLibA_56934;HGLibB_56869;HGLibB_56868;,1.6179;0.90042;1.345;1.0678;0.42587;0.38147;,30834
NCMAP,0.00048905,0.0017804,0.548391,67,0.84729,6,HGLibA_31331;HGLibA_31333;HGLibB_31289;HGLibA_31332;HGLibB_31291;HGLibB_31290;,2.4815;1.957;0.6548;1.0398;0.28694;0.49429;,400746
STK31,0.00049102,0.0017808,0.548391,68,0.77961,4,HGLibB_47424;HGLibB_47422;HGLibA_47480;HGLibA_47479;,3.5764;1.3698;1.3414;0.21778;,56164
MRP63,0.00052792,0.001894,0.548391,70,0.70738,6,HGLibB_29844;HGLibB_29843;HGLibA_29886;HGLibB_29845;HGLibA_29884;HGLibA_29885;,0.64937;0.66588;1.0636;0.74464;0.67012;1.5495;,78988
MAP7D3,0.00053259,0.0019027,0.548391,72,1.3191,6,HGLibA_28241;HGLibA_28242;HGLibA_28240;HGLibB_28199;HGLibB_28200;HGLibB_28201;,1.6258;1.4321;1.7031;1.2061;0.13362;0.11619;,79649
hsa-mir-3657,0.00094381,0.0020113,0.548391,115,1.1951,4,HGLibA_59174;HGLibA_59172;HGLibA_59173;HGLibA_59175;,1.0439;1.6961;0.42359;1.3463;,100500889
CCDC73,0.00080336,0.0023508,0.548391,101,1.3634,5,HGLibA_07859;HGLibB_07853;HGLibB_07852;HGLibA_07858;HGLibA_07860;,1.5712;0.51977;1.3634;1.7046;0.54432;,493860
SNX12,0.00055986,0.0023814,0.548391,73,0.97187,6,HGLibB_45977;HGLibA_46034;HGLibB_45976;HGLibA_46033;HGLibA_46032;HGLibB_45978;,1.8942;2.4001;0.47119;0.58356;1.3602;0.28306;,29934
XYLT1,0.00057915,0.0024224,0.548391,75,1.0341,4,HGLibA_54618;HGLibA_54619;HGLibB_54553;HGLibB_54551;,1.1009;1.0575;1.2637;1.0107;,64131
DDX54,0.00058631,0.0024539,0.548391,76,0.81679,6,HGLibA_12745;HGLibB_12731;HGLibB_12729;HGLibA_12743;HGLibA_12744;HGLibB_12730;,1.3022;1.5041;0.49905;0.88392;0.74967;0.26166;,79039
RRP36,0.00061134,0.002537,0.548391,78,0.77448,5,HGLibA_42279;HGLibA_42278;HGLibB_42225;HGLibA_42277;HGLibB_42226;,2.3498;2.0249;1.3044;0.20517;0.24452;,88745
FAM208B,0.00062163,0.0025434,0.548391,79,1.1496,6,HGLibA_16434;HGLibB_16414;HGLibA_16436;HGLibB_16413;HGLibA_16435;HGLibB_16412;,2.9996;1.4849;0.98347;1.3158;0.56215;0.55646;,54906
FSD2,0.0006269,0.0025548,0.548391,80,0.94849,4,HGLibB_18059;HGLibB_18058;HGLibA_18084;HGLibA_18082;,1.5441;1.3408;1.3754;0.55618;,123722
TMEM106B,0.00064079,0.0025762,0.548391,83,0.73171,5,HGLibB_49796;HGLibB_49795;HGLibA_49855;HGLibB_49797;HGLibA_49857;,0.99715;1.4063;1.1392;0.46627;0.23221;,54664
ANGPT1,0.00065713,0.0026542,0.548391,84,0.83434,4,HGLibA_01900;HGLibB_01899;HGLibB_01900;HGLibA_01901;,2.513;1.6514;0.93873;0.72996;,284
NR2F2,0.00070258,0.0027455,0.548391,88,0.90356,6,HGLibB_32568;HGLibA_32614;HGLibB_32569;HGLibA_32612;HGLibB_32570;HGLibA_32613;,1.6241;1.4301;1.008;0.79912;0.24067;0.59415;,7026
C4orf21,0.00071642,0.0028213,0.548391,90,0.74602,4,HGLibA_06301;HGLibB_06299;HGLibB_06297;HGLibA_06302;,0.96883;0.9165;0.95484;0.57554;,55345
SSTR3,0.00072721,0.0028217,0.548391,91,0.93186,4,HGLibB_47123;HGLibA_47179;HGLibA_47181;HGLibB_47122;,0.91689;3.2209;0.94683;1.0145;,6753
SH3GLB1,0.00072987,0.0028418,0.548391,92,1.0091,6,HGLibB_43901;HGLibA_43955;HGLibA_43956;HGLibB_43902;HGLibA_43954;HGLibB_43903;,2.3576;1.2415;2.8324;0.77678;0.29183;0.084744;,51100
PGLYRP4,0.00075372,0.0029331,0.548391,93,1.2401,6,HGLibB_36210;HGLibB_36212;HGLibA_36258;HGLibA_36259;HGLibA_36257;HGLibB_36211;,1.2912;1.1963;1.9563;1.0126;1.284;0.36109;,57115
TAF2,0.00075552,0.0029486,0.548391,94,0.90521,6,HGLibA_48228;HGLibA_48227;HGLibB_48170;HGLibB_48168;HGLibB_48169;HGLibA_48229;,1.2712;1.8272;1.0586;0.36935;0.75185;0.32508;,6873
TRNP1,0.00078466,0.0030189,0.548391,96,0.84879,5,HGLibB_51645;HGLibA_51711;HGLibB_51646;HGLibB_51644;HGLibA_51710;,1.1114;1.439;3.0955;0.58617;0.088556;,7217
